referentienummer,identifier
DMG-A-02753,Q181503
DMG-A-02762,Q2205928
DMG-A-02767,Q2497197
DMG-A-02768,Q2853424
DMG-A-02776,Q21498465
DMG-A-02777,Q2101680
DMG-A-02778,Q11009945
DMG-A-02781,Q2282495
DMG-A-02782,Q2519247
DMG-A-02783,Q2097997
DMG-A-02784,Q559297
DMG-A-02785,Q22018845
DMG-A-02789,Q2012984
DMG-A-02790,Q2602763
DMG-A-02794,Q29375982
DMG-A-02800,Q2514399
DMG-A-02810,Q2294203
DMG-A-02815,Q3074339
DMG-A-02816,Q2030691
DMG-A-02817,Q3301004
DMG-A-02818,Q2324410
DMG-A-02820,Q2317564
DMG-A-02827,Q1859478
DMG-A-02830,Q1713083
DMG-A-02832,Q506019
DMG-A-02841,Q2465723
DMG-A-02843,Q924740
DMG-A-02845,Q2295945
DMG-A-02846,Q713284
DMG-A-02847,Q3498572
DMG-A-02848,Q366851
DMG-A-02854,Q7836
DMG-A-02865,Q2270603
DMG-A-02871,Q2236386
DMG-A-02876,Q31899423
DMG-A-02880,Q19958441
DMG-A-02885,Q1892602
DMG-A-02895,Q3369553
DMG-A-02901,Q1286497
DMG-A-02902,Q42246661
DMG-A-02904,Q2778600
DMG-A-02908,Q1267257
DMG-A-02914,Q61928144
DMG-A-02932,Q27925670
DMG-A-02942,Q55219692
DMG-A-02946,Q234021
DMG-A-02947,Q11865384
DMG-A-02954,Q4994191
DMG-A-02956,Q21015698
DMG-A-02960,Q15813590
DMG-A-02961,Q2228306
DMG-A-02968,Q5715651
DMG-A-02973,Q3435806
DMG-A-02978,Q19280589
DMG-A-02985,Q3869902
DMG-A-02986,Q3169797
DMG-A-02992,Q27830074
DMG-A-02998,Q60469232
DMG-A-03001,Q22235823
DMG-A-03003,Q807964
DMG-A-03004,Q12055782
DMG-A-03005,Q1440151
DMG-A-03009,Q471444
DMG-A-03010,Q16990956
DMG-A-03015,Q62395496
DMG-A-03019,Q3105826
DMG-A-03021,Q2105498
DMG-A-03069,Q2303365
DMG-A-03086,Q2662650
DMG-A-03104,Q555861
DMG-A-03106,Q62117665
DMG-A-03118,Q97947589
DMG-A-03126,Q1724409
DMG-A-03128,Q333498
DMG-A-03129,Q95317366
DMG-A-03134,Q162345
DMG-A-03136,Q6520993
DMG-A-03137,Q30256059
DMG-A-03144,Q2247930
DMG-A-03146,Q55219834
DMG-A-03151,Q2250620
DMG-A-03158,Q3067786
DMG-A-03159,Q12313702
DMG-A-03160,Q272400
DMG-A-03165,Q38617293
DMG-A-03173,Q216141
DMG-A-03174,Q11436504
