referentienummer,identifier
DMG-A-00626,Q1497235
DMG-A-00630,Q18670258
DMG-A-00632,Q2108485
DMG-A-00635,Q271676
DMG-A-00637,Q630353
DMG-A-00640,Q2881605
DMG-A-00644,Q38995414
DMG-A-00651,Q3164651
DMG-A-00653,Q6437991
DMG-A-00656,Q21637189
DMG-A-00659,Q3083663
DMG-A-00660,Q2960206
DMG-A-00664,Q3387994
DMG-A-00665,Q22235764
DMG-A-00669,Q232972
DMG-A-00673,Q625048
DMG-A-00674,Q57588
DMG-A-00675,Q1921617
DMG-A-00678,Q787301
DMG-A-00680,Q2618110
DMG-A-00681,Q22236132
DMG-A-00682,Q96756232
DMG-A-00683,Q914211
DMG-A-00685,Q45205
DMG-A-00686,Q954875
DMG-A-00691,Q461222
DMG-A-00693,Q3089453
DMG-A-00694,Q3130665
DMG-A-00695,Q2839097
DMG-A-00696,Q1729180
DMG-A-00697,Q6697152
DMG-A-00698,Q637767
DMG-A-00699,Q2850859
DMG-A-00700,Q1881793
DMG-A-00703,Q637767
DMG-A-00707,Q3644321
DMG-A-00708,Q2360896
DMG-A-00709,Q64104
DMG-A-00710,Q788088
DMG-A-00711,Q2691998
DMG-A-00715,Q1963832
DMG-A-00716,Q10646481
DMG-A-00717,Q27262555
DMG-A-00718,Q6141391
DMG-A-00719,Q40804286
DMG-A-00722,Q141146
DMG-A-00724,Q2710856
DMG-A-00726,Q876883
DMG-A-00728,Q321589
DMG-A-00734,Q3942427
DMG-A-00736,Q23062104
DMG-A-00738,Q47395159
DMG-A-00746,Q2271270
DMG-A-00749,Q1611243
DMG-A-00750,Q1563087
DMG-A-00753,Q3128706
DMG-A-00757,Q1479451
DMG-A-00758,Q17026370
DMG-A-00761,Q524197
DMG-A-00762,Q2073589
DMG-A-00763,Q21427596
DMG-A-00764,Q2195030
DMG-A-00765,Q2228769
DMG-A-00767,Q2069257
DMG-A-00773,Q2723431
DMG-A-00776,Q58023118
DMG-A-00779,Q2932754
DMG-A-00783,Q15848750
DMG-A-00792,Q48755937
DMG-A-00798,Q2240563
DMG-A-00799,Q2748838
DMG-A-00809,Q60274383
DMG-A-00817,Q4993441
DMG-A-00821,Q21287763
DMG-A-00829,Q38467310
DMG-A-00832,Q16514190
DMG-A-00837,Q11891801
DMG-A-00841,Q1829006
DMG-A-00843,Q3282871
DMG-A-00848,Q216483
DMG-A-00851,Q23059389
DMG-A-00855,Q813152
DMG-A-00856,Q873244
DMG-A-00859,Q29436142
DMG-A-00860,Q316829
DMG-A-00862,Q455115
DMG-A-00863,Q29421987
DMG-A-00865,Q40232948
DMG-A-00867,Q2895936
DMG-A-00868,Q5460673
DMG-A-00872,Q12013428
DMG-A-00875,Q21712289
DMG-A-00877,Q1649271
DMG-A-00878,Q200692
DMG-A-00879,Q2846309
DMG-A-00880,Q874137
DMG-A-00881,Q16106100
DMG-A-00883,Q2011880
DMG-A-00884,Q2923151
DMG-A-00890,Q12313027
DMG-A-00891,Q41508
DMG-A-00896,Q3733455
DMG-A-00897,Q2939027
DMG-A-00899,Q1057887
DMG-A-00900,Q25913586
DMG-A-00902,Q724401
DMG-A-00903,Q2759674
DMG-A-00904,Q3934415
DMG-A-00905,Q55861566
DMG-A-00906,Q316906
DMG-A-00907,Q3870106
DMG-A-00910,Q17058521
DMG-A-00914,Q12890889
DMG-A-00915,Q26977478
DMG-A-00916,Q3341346
DMG-A-00918,Q2908459
DMG-A-00919,Q4311422
DMG-A-00921,Q23916603
DMG-A-00923,Q15884371
DMG-A-00924,Q98073186
DMG-A-00925,Q556337
DMG-A-00926,Q139493
DMG-A-00927,Q3297170
DMG-A-00929,Q496315
DMG-A-00934,Q1553691
DMG-A-00935,Q19637544
DMG-A-00936,Q98050888
DMG-A-00938,Q4355936
DMG-A-00940,Q1351481
DMG-A-00942,Q2617109
DMG-A-00944,Q434716
DMG-A-00946,Q22691370
DMG-A-00948,Q3382720
DMG-A-00949,Q12028389
DMG-A-00951,Q3013066
DMG-A-00952,Q62673444
DMG-A-00953,Q30689596
DMG-A-00956,Q22662645
DMG-A-00957,Q212312
DMG-A-00958,Q384560
DMG-A-00962,Q709990
DMG-A-00964,Q167073
DMG-A-00970,Q170411
DMG-A-00974,Q662885
DMG-A-00975,Q1066309
DMG-A-00976,Q22236129
DMG-A-00977,Q27493818
DMG-A-00978,Q65508258
DMG-A-00980,Q633574
DMG-A-00983,Q877056
DMG-A-00984,Q1605510
DMG-A-00985,Q2304465
DMG-A-00986,Q100165427
DMG-A-00987,Q673267
DMG-A-00988,Q8867
DMG-A-00992,Q2833468
DMG-A-00993,Q3001739
DMG-A-00995,Q3271902
DMG-A-00997,Q52156276
DMG-A-00998,Q6090081
DMG-A-00999,Q322953
DMG-A-01001,Q1556819
DMG-A-01003,Q984344
DMG-A-01004,Q2246222
DMG-A-01007,Q21458012
DMG-A-01008,Q18603392
DMG-A-01010,Q244736
DMG-A-01012,Q1821494
DMG-A-01018,Q2262005
DMG-A-01019,Q3384265
DMG-A-01020,Q2695107
DMG-A-01022,Q112856
DMG-A-01025,Q3754285
DMG-A-01027,Q1491035
DMG-A-01028,Q3851301
DMG-A-01029,Q159612
DMG-A-01030,Q4956242
DMG-A-01032,Q2350368
DMG-A-01033,Q708333
DMG-A-01035,Q2824800
DMG-A-01039,Q4959821
DMG-A-01042,Q843887
DMG-A-01043,Q214317
DMG-A-01044,Q1374775
DMG-A-01049,Q1291611
DMG-A-01051,Q550411
DMG-A-01052,Q1658018
DMG-A-01053,Q435810
DMG-A-01060,Q381924
DMG-A-01061,Q13739850
DMG-A-01065,Q1439475
DMG-A-01072,Q559281
DMG-A-01074,Q319350
DMG-A-01075,Q622062
DMG-A-01076,Q1394730
DMG-A-01077,Q2154721
DMG-A-01078,Q2350770
