url;referentienummer;identifier
https://nl.wikipedia.org/wiki/Louis_L%C3%A9opold_Boilly;DMG-A-00487;Q715909
https://nl.wikipedia.org/wiki/Jan-Frans_Eliaerts;DMG-A-00498;Q4776112
https://nl.wikipedia.org/wiki/Armand_Heins;DMG-A-00500;Q16801281
https://nl.wikipedia.org/wiki/Jules_Pierre_Van_Biesbroeck;DMG-A-00502;Q1711749
https://nl.wikipedia.org/wiki/Laurent_Delvaux;DMG-A-00519;Q510315
https://nl.wikipedia.org/wiki/Kai_Nielsen_(beeldhouwer);DMG-A-00527;Q3543184
https://nl.wikipedia.org/wiki/Domien_Ingels;DMG-A-00549;Q2047896
https://nl.wikipedia.org/wiki/Clara_Voortman-Dobbelaere;DMG-A-00570;Q21695363
https://nl.wikipedia.org/wiki/Charles_Catteau;DMG-A-00580;Q2958692
https://nl.wikipedia.org/wiki/Octave_Landuyt;DMG-A-00607;Q1607422
https://nl.wikipedia.org/wiki/Friso_Kramer;DMG-A-00624;Q2285049
https://nl.wikipedia.org/wiki/Charles_Samuel;DMG-A-00625;Q2960190
https://nl.wikipedia.org/wiki/Alo%C3%AFs_De_Beule;DMG-A-00632;Q2108485
https://nl.wikipedia.org/wiki/Charles_Le_Brun;DMG-A-00635;Q271676
https://nl.wikipedia.org/wiki/Roger_Bonduel;DMG-A-00656;Q21637189
https://nl.wikipedia.org/wiki/Sonia_Delaunay-Terk;DMG-A-00669;Q232972
https://nl.wikipedia.org/wiki/Marcel_Breuer;DMG-A-00674;Q57588
https://nl.wikipedia.org/wiki/Georges_de_Feure;DMG-A-00675;Q1921617
https://nl.wikipedia.org/wiki/Sybren_Valkema;DMG-A-00680;Q2618110
https://nl.wikipedia.org/wiki/Willy_Finch;DMG-A-00683;Q914211
https://nl.wikipedia.org/wiki/Raoul_Dufy;DMG-A-00685;Q45205
https://nl.wikipedia.org/wiki/%C3%89mile-Jacques_Ruhlmann;DMG-A-00686;Q954875
https://nl.wikipedia.org/wiki/Karel_de_Bazel;DMG-A-00696;Q1729180
https://nl.wikipedia.org/wiki/Max_Verboeket;DMG-A-00699;Q2850859
https://nl.wikipedia.org/wiki/Kristalunie_Maastricht;DMG-A-00700;Q1881793
https://nl.wikipedia.org/wiki/Cornelis_de_Lorm;DMG-A-00708;Q2360896
https://nl.wikipedia.org/wiki/Richard_Riemerschmid;DMG-A-00709;Q64104
https://nl.wikipedia.org/wiki/Chris_Lanooy;DMG-A-00711;Q2691998
https://nl.wikipedia.org/wiki/Johansfors_Glasbruk;DMG-A-00715;Q1963832
https://nl.wikipedia.org/wiki/Sabena;DMG-A-00722;Q141146
https://nl.wikipedia.org/wiki/Chris_Lebeau;DMG-A-00724;Q2710856
https://nl.wikipedia.org/wiki/Hildo_Krop;DMG-A-00734;Q3942427
https://nl.wikipedia.org/wiki/Jozef_Cantr%C3%A9;DMG-A-00746;Q2271270
https://nl.wikipedia.org/wiki/Theodoor_Colenbrander;DMG-A-00761;Q524197
https://nl.wikipedia.org/wiki/Plateelbakkerij_Ram;DMG-A-00762;Q2073589
https://nl.wikipedia.org/wiki/Dordtsche_Kunstpotterij;DMG-A-00764;Q2195030
https://nl.wikipedia.org/wiki/Willem_Coenraad_Brouwer;DMG-A-00765;Q2228769
https://nl.wikipedia.org/wiki/Henri_Breetvelt;DMG-A-00767;Q2069257
https://nl.wikipedia.org/wiki/Arnhemsche_Fayencefabriek;DMG-A-00773;Q2723431
https://nl.wikipedia.org/wiki/Driekus_Jansen_van_Galen;DMG-A-00776;Q58023118
https://nl.wikipedia.org/wiki/Regina_(aardewerkfabriek);DMG-A-00779;Q2932754
https://nl.wikipedia.org/wiki/Edmond_Bellefroid;DMG-A-00798;Q2240563
https://nl.wikipedia.org/wiki/Bert_Nienhuis;DMG-A-00799;Q2748838
https://nl.wikipedia.org/wiki/De_Porceleyne_Fles;DMG-A-00829;Q38467310
https://nl.wikipedia.org/wiki/Jean-Jules_Eggericx;DMG-A-00841;Q1829006
https://nl.wikipedia.org/wiki/Luc_Deleu;DMG-A-00843;Q3282871
https://nl.wikipedia.org/wiki/Marcello_Morandini;DMG-A-00856;Q873244
https://nl.wikipedia.org/wiki/Otto_Piene;DMG-A-00862;Q455115
https://nl.wikipedia.org/wiki/Piet_Bekaert;DMG-A-00867;Q2895936
https://nl.wikipedia.org/wiki/L%C3%A9on_Stynen;DMG-A-00872;Q12013428
https://nl.wikipedia.org/wiki/Alessi;DMG-A-00877;Q1649271
https://nl.wikipedia.org/wiki/Studio_Alchimia;DMG-A-00883;Q2011880
https://nl.wikipedia.org/wiki/Bo%C5%99ek_%C5%A0%C3%ADpek;DMG-A-00884;Q2923151
https://nl.wikipedia.org/wiki/Ludwig_Mies_van_der_Rohe;DMG-A-00891;Q41508
https://nl.wikipedia.org/wiki/Huang_Yong_Ping;DMG-A-00899;Q1057887
https://nl.wikipedia.org/wiki/Philippe_Starck;DMG-A-00906;Q316906
https://nl.wikipedia.org/wiki/Bodys_Isek_Kingelez;DMG-A-00918;Q2908459
https://nl.wikipedia.org/wiki/Heikki_Orvola;DMG-A-00926;Q139493
https://nl.wikipedia.org/wiki/Ch%C3%A9ri_Samba;DMG-A-00942;Q2617109
https://nl.wikipedia.org/wiki/Robert_Venturi;DMG-A-00957;Q212312
https://nl.wikipedia.org/wiki/Malangatana_Ngwenya;DMG-A-00958;Q384560
https://nl.wikipedia.org/wiki/Eero_Saarinen;DMG-A-00964;Q167073
https://nl.wikipedia.org/wiki/Charles_Eames;DMG-A-00970;Q170411
